"id","host_id","host_response_rate","host_is_superhost","property_type","host_identity_verified","neighbourhood_cleansed","instant_bookable","cancellation_policy","accommodates","bathrooms","bedrooms","beds","price"
36118140,271691383,1,"f","Apartment","f","West End","t","strict_14_with_grace_period",2,1,1,1,110
19555826,69139395,1,"t","House","f","Riley Park","f","strict_14_with_grace_period",1,0,1,1,30
17944736,123115979,1,"t","Guest suite","t","Kensington-Cedar Cottage","f","strict_14_with_grace_period",3,1,2,2,75
36211482,271875395,1,"t","Apartment","f","Downtown","t","flexible",3,1,2,2,129
38219383,177421957,1,"f","House","f","Renfrew-Collingwood","t","moderate",1,2,1,2,32
38671427,286763374,1,"f","Guest suite","t","Oakridge","t","moderate",4,1.5,2,2,139
36553700,109657889,1,"f","House","f","Kensington-Cedar Cottage","t","flexible",4,1,2,3,110
22377384,3111913,0.97,"t","Condominium","f","Downtown","f","strict_14_with_grace_period",2,1,1,1,151
38376044,259607286,1,"f","Apartment","f","Kensington-Cedar Cottage","f","strict_14_with_grace_period",5,1,2,3,57
39092261,264354895,1,"f","Villa","f","Arbutus Ridge","f","strict_14_with_grace_period",2,1,1,1,59
4752693,24525605,0.9,"t","Townhouse","t","Kitsilano","t","strict_14_with_grace_period",6,2,2,4,224
14634631,32878648,1,"t","House","t","Renfrew-Collingwood","t","strict_14_with_grace_period",1,1,1,1,30
23173938,34142007,1,"t","House","t","Riley Park","f","strict_14_with_grace_period",2,1,1,1,65
1507975,51695,1,"f","House","t","Riley Park","f","strict_14_with_grace_period",2,1,1,1,65
34949072,263349797,1,"t","Guest suite","f","Kensington-Cedar Cottage","t","moderate",5,2,3,3,121
1398788,7554741,1,"f","Guesthouse","f","Arbutus Ridge","t","moderate",3,1,1,2,75
11338565,600607,1,"f","Apartment","t","Fairview","f","strict_14_with_grace_period",2,1,1,1,99
30373419,9838373,1,"f","House","t","Sunset","f","strict_14_with_grace_period",9,5,5,5,569
19699282,10767616,1,"t","Apartment","t","West End","t","moderate",6,3,3,3,291
22103390,3150401,1,"t","House","t","Kensington-Cedar Cottage","t","moderate",2,1,1,1,302
38934870,21239104,0.95,"f","Condominium","f","Kerrisdale","f","moderate",6,2,2,2,298
29831882,223896599,1,"f","Villa","f","South Cambie","t","moderate",1,1,1,1,33
32989239,248282487,0.7,"f","House","f","Sunset","f","moderate",1,1,1,1,49
37502285,283076858,1,"f","Guest suite","t","Killarney","f","moderate",6,1,2,4,106
20156152,143428351,NA,"f","Guest suite","f","Shaughnessy","t","strict_14_with_grace_period",4,1,2,2,140
